TID	familyID	evidence	value	rank	description	note
1	Cluster_459	DNA_within_phenotype_abundance	2166.205829411765	0.9406009783368274	ranking based on single evidence	CD_vs_nonIBD
2	Cluster_459	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
3	Cluster_459	MaAsLin2_DA__mean_log	-3.565095730315907	0.893780573025856	ranking based on single evidence	CD_vs_nonIBD
4	Cluster_459	MaAsLin2_DA__qvalue	9.6123577468574e-06	0.9401679496151155	ranking based on single evidence	CD_vs_nonIBD
5	Cluster_459	priority_score	0.9421446256773234	0.9421446256773234	meta ranking based on multiple evidences	CD_vs_nonIBD
6	Cluster_671	DNA_within_phenotype_abundance	1828.629470588235	0.8308874912648497	ranking based on single evidence	CD_vs_nonIBD
7	Cluster_671	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
8	Cluster_671	MaAsLin2_DA__mean_log	-3.993646340143922	0.9797344514325647	ranking based on single evidence	CD_vs_nonIBD
9	Cluster_671	MaAsLin2_DA__qvalue	1.84132883095464e-05	0.9044786564030791	ranking based on single evidence	CD_vs_nonIBD
10	Cluster_671	priority_score	0.9238245670700458	0.9238245670700458	meta ranking based on multiple evidences	CD_vs_nonIBD
11	Cluster_1280	DNA_within_phenotype_abundance	1743.4770117647063	0.806429070580014	ranking based on single evidence	CD_vs_nonIBD
12	Cluster_1280	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
13	Cluster_1280	MaAsLin2_DA__mean_log	-3.790009963086109	0.9566736547868623	ranking based on single evidence	CD_vs_nonIBD
14	Cluster_1280	MaAsLin2_DA__qvalue	6.8661151940933e-06	0.9510146955913226	ranking based on single evidence	CD_vs_nonIBD
15	Cluster_1280	priority_score	0.9223323193870298	0.9223323193870298	meta ranking based on multiple evidences	CD_vs_nonIBD
16	Cluster_665	DNA_within_phenotype_abundance	1903.0428735294122	0.8553459119496856	ranking based on single evidence	CD_vs_nonIBD
17	Cluster_665	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
18	Cluster_665	MaAsLin2_DA__mean_log	-3.6068703608965857	0.909853249475891	ranking based on single evidence	CD_vs_nonIBD
19	Cluster_665	MaAsLin2_DA__qvalue	1.82288194004205e-05	0.906927921623513	ranking based on single evidence	CD_vs_nonIBD
20	Cluster_665	priority_score	0.9151602006121271	0.9151602006121271	meta ranking based on multiple evidences	CD_vs_nonIBD
21	Cluster_484	DNA_within_phenotype_abundance	1998.3029352941182	0.8846960167714885	ranking based on single evidence	CD_vs_nonIBD
22	Cluster_484	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
23	Cluster_484	MaAsLin2_DA__mean_log	-3.730573489810852	0.9447938504542278	ranking based on single evidence	CD_vs_nonIBD
24	Cluster_484	MaAsLin2_DA__qvalue	3.52425701379139e-05	0.844296710986704	ranking based on single evidence	CD_vs_nonIBD
25	Cluster_484	priority_score	0.9146659135237432	0.9146659135237432	meta ranking based on multiple evidences	CD_vs_nonIBD
26	Cluster_629	DNA_within_phenotype_abundance	2278.196438235294	0.9643605870020965	ranking based on single evidence	CD_vs_nonIBD
27	Cluster_629	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
28	Cluster_629	MaAsLin2_DA__mean_log	-3.430412879149026	0.8336827393431167	ranking based on single evidence	CD_vs_nonIBD
29	Cluster_629	MaAsLin2_DA__qvalue	3.74210939423401e-05	0.8397480755773268	ranking based on single evidence	CD_vs_nonIBD
30	Cluster_629	priority_score	0.9034878631341615	0.9034878631341615	meta ranking based on multiple evidences	CD_vs_nonIBD
31	Cluster_1017	DNA_within_phenotype_abundance	2245.4086058823527	0.9566736547868623	ranking based on single evidence	CD_vs_nonIBD
32	Cluster_1017	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
33	Cluster_1017	MaAsLin2_DA__mean_log	-3.5286317414408304	0.8798043326345213	ranking based on single evidence	CD_vs_nonIBD
34	Cluster_1017	MaAsLin2_DA__qvalue	5.28660444841813e-05	0.7942617214835549	ranking based on single evidence	CD_vs_nonIBD
35	Cluster_1017	priority_score	0.9007110758445571	0.9007110758445571	meta ranking based on multiple evidences	CD_vs_nonIBD
36	Cluster_816	DNA_within_phenotype_abundance	1991.7376264705877	0.8825995807127882	ranking based on single evidence	CD_vs_nonIBD
37	Cluster_816	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
38	Cluster_816	MaAsLin2_DA__mean_log	-3.7912347130181514	0.9573724668064291	ranking based on single evidence	CD_vs_nonIBD
39	Cluster_816	MaAsLin2_DA__qvalue	5.82651467790831e-05	0.7893631910426872	ranking based on single evidence	CD_vs_nonIBD
40	Cluster_816	priority_score	0.9000118055584985	0.9000118055584985	meta ranking based on multiple evidences	CD_vs_nonIBD
41	Cluster_1210	DNA_within_phenotype_abundance	2205.6994117647055	0.9482879105520615	ranking based on single evidence	CD_vs_nonIBD
42	Cluster_1210	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
43	Cluster_1210	MaAsLin2_DA__mean_log	-3.67778632823971	0.9308176100628931	ranking based on single evidence	CD_vs_nonIBD
44	Cluster_1210	MaAsLin2_DA__qvalue	2.51526964978968e-05	0.8799860041987404	ranking based on single evidence	CD_vs_nonIBD
45	Cluster_1210	priority_score	0.8994558596018406	0.8994558596018406	meta ranking based on multiple evidences	CD_vs_nonIBD
46	Cluster_797	DNA_within_phenotype_abundance	1815.0301176470587	0.8245981830887491	ranking based on single evidence	CD_vs_nonIBD
47	Cluster_797	DNA_within_phenotype_prevalence	1.0	1.0	ranking based on single evidence	CD_vs_nonIBD
48	Cluster_797	MaAsLin2_DA__mean_log	-3.7024154115397505	0.939203354297694	ranking based on single evidence	CD_vs_nonIBD
49	Cluster_797	MaAsLin2_DA__qvalue	3.42431118906011e-05	0.8460461861441567	ranking based on single evidence	CD_vs_nonIBD
50	Cluster_797	priority_score	0.8969791270787895	0.8969791270787895	meta ranking based on multiple evidences	CD_vs_nonIBD
51	Cluster_73	DNA_within_phenotype_abundance	2004.9035882352944	0.8867924528301887	ranking based on single evidence	CD_vs_nonIBD
52	Cluster_73	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
53	Cluster_73	MaAsLin2_DA__mean_log	-3.618505194191432	0.9133473095737247	ranking based on single evidence	CD_vs_nonIBD
54	Cluster_73	MaAsLin2_DA__qvalue	1.27317463598786e-05	0.9314205738278516	ranking based on single evidence	CD_vs_nonIBD
55	Cluster_73	priority_score	0.8932444930052121	0.8932444930052121	meta ranking based on multiple evidences	CD_vs_nonIBD
56	Cluster_1152	DNA_within_phenotype_abundance	2065.2806764705883	0.907058001397624	ranking based on single evidence	CD_vs_nonIBD
57	Cluster_1152	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
58	Cluster_1152	MaAsLin2_DA__mean_log	-4.205453876771703	0.9923130677847659	ranking based on single evidence	CD_vs_nonIBD
59	Cluster_1152	MaAsLin2_DA__qvalue	4.177938492483e-05	0.8334499650104968	ranking based on single evidence	CD_vs_nonIBD
60	Cluster_1152	priority_score	0.8904840471765318	0.8904840471765318	meta ranking based on multiple evidences	CD_vs_nonIBD
61	Cluster_783	DNA_within_phenotype_abundance	2090.686823529412	0.9140461215932913	ranking based on single evidence	CD_vs_nonIBD
62	Cluster_783	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
63	Cluster_783	MaAsLin2_DA__mean_log	-3.715952442041256	0.9406009783368274	ranking based on single evidence	CD_vs_nonIBD
64	Cluster_783	MaAsLin2_DA__qvalue	4.14551693194791e-05	0.834849545136459	ranking based on single evidence	CD_vs_nonIBD
65	Cluster_783	priority_score	0.8816587998799388	0.8816587998799388	meta ranking based on multiple evidences	CD_vs_nonIBD
66	Cluster_1185	DNA_within_phenotype_abundance	1974.009911764706	0.8812019566736548	ranking based on single evidence	CD_vs_nonIBD
67	Cluster_1185	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
68	Cluster_1185	MaAsLin2_DA__mean_log	-3.479989702420401	0.8588399720475192	ranking based on single evidence	CD_vs_nonIBD
69	Cluster_1185	MaAsLin2_DA__qvalue	9.26062680864595e-06	0.943666899930021	ranking based on single evidence	CD_vs_nonIBD
70	Cluster_1185	priority_score	0.8809086472430042	0.8809086472430042	meta ranking based on multiple evidences	CD_vs_nonIBD
71	Cluster_1250	DNA_within_phenotype_abundance	1684.3423235294122	0.7868623340321453	ranking based on single evidence	CD_vs_nonIBD
72	Cluster_1250	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
73	Cluster_1250	MaAsLin2_DA__mean_log	-4.52944702585987	0.9993011879804332	ranking based on single evidence	CD_vs_nonIBD
74	Cluster_1250	MaAsLin2_DA__qvalue	1.82149407839489e-05	0.907627711686494	ranking based on single evidence	CD_vs_nonIBD
75	Cluster_1250	priority_score	0.8781099807133809	0.8781099807133809	meta ranking based on multiple evidences	CD_vs_nonIBD
76	Cluster_1204	DNA_within_phenotype_abundance	2212.401117647059	0.9510831586303284	ranking based on single evidence	CD_vs_nonIBD
77	Cluster_1204	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
78	Cluster_1204	MaAsLin2_DA__mean_log	-3.94920051130481	0.976240391334731	ranking based on single evidence	CD_vs_nonIBD
79	Cluster_1204	MaAsLin2_DA__qvalue	8.1014214302208e-05	0.762071378586424	ranking based on single evidence	CD_vs_nonIBD
80	Cluster_1204	priority_score	0.8752967423905424	0.8752967423905424	meta ranking based on multiple evidences	CD_vs_nonIBD
81	Cluster_712	DNA_within_phenotype_abundance	2112.486117647059	0.9210342417889588	ranking based on single evidence	CD_vs_nonIBD
82	Cluster_712	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
83	Cluster_712	MaAsLin2_DA__mean_log	-3.630756051651952	0.9175401816911251	ranking based on single evidence	CD_vs_nonIBD
84	Cluster_712	MaAsLin2_DA__qvalue	4.33149179875395e-05	0.824702589223233	ranking based on single evidence	CD_vs_nonIBD
85	Cluster_712	priority_score	0.8752620470787661	0.8752620470787661	meta ranking based on multiple evidences	CD_vs_nonIBD
86	Cluster_6	DNA_within_phenotype_abundance	2448.0493438235294	0.9825296995108316	ranking based on single evidence	CD_vs_nonIBD
87	Cluster_6	DNA_within_phenotype_prevalence	0.9411764705882353	0.692555476020043	ranking based on single evidence	CD_vs_nonIBD
88	Cluster_6	MaAsLin2_DA__mean_log	3.5811916427834816	0.9007686932215234	ranking based on single evidence	CD_vs_nonIBD
89	Cluster_6	MaAsLin2_DA__qvalue	1.13586296147806e-06	1.0	ranking based on single evidence	CD_vs_nonIBD
90	Cluster_6	priority_score	0.8749152280741844	0.8749152280741844	meta ranking based on multiple evidences	CD_vs_nonIBD
91	Cluster_1463	DNA_within_phenotype_abundance	1728.6842058823527	0.7987421383647799	ranking based on single evidence	CD_vs_nonIBD
92	Cluster_1463	DNA_within_phenotype_prevalence	0.9705882352941176	0.8460987831066571	ranking based on single evidence	CD_vs_nonIBD
