familyID	type	detail	mean_abundance	mean_prevalent_abundance	prevalence	total_abundance	total_samples
Cluster_1	DNA-CD_abundance	5139.606527941177	5139.606527941177	5547.511807936508	0.9264705882352942	349493.2439	68
Cluster_1	DNA-CD_prevalence	0.9264705882352942	5139.606527941177	5547.511807936508	0.9264705882352942	349493.2439	68
Cluster_1	DNA_abundance	3804.56850882353	3804.56850882353	4000.6802876288666	0.9509803921568627	388065.98790000007	102
Cluster_1	DNA_prevalence	0.9509803921568627	3804.56850882353	4000.6802876288666	0.9509803921568627	388065.98790000007	102
Cluster_1	DNA-nonIBD_abundance	1134.4924705882354	1134.4924705882354	1134.4924705882354	1.0	38572.744000000006	34
Cluster_1	DNA-nonIBD_prevalence	1.0	1134.4924705882354	1134.4924705882354	1.0	38572.744000000006	34
Cluster_1	DNA-within-phenotype_abundance	5139.606527941177	5139.606527941177	5547.511807936508	0.9264705882352942	349493.2439	68
Cluster_1	DNA-within-phenotype_prevalence	1.0	1134.4924705882354	1134.4924705882354	1.0	38572.744000000006	34
Cluster_10	DNA-CD_abundance	827.4530269117645	827.4530269117645	1339.6858530952377	0.6176470588235294	56266.80582999998	68
Cluster_10	DNA-CD_prevalence	0.6176470588235294	827.4530269117645	1339.6858530952377	0.6176470588235294	56266.80582999998	68
Cluster_10	DNA_abundance	1131.1323610784318	1131.1323610784318	1538.340011066667	0.7352941176470589	115375.50083000003	102
Cluster_10	DNA_prevalence	0.7352941176470589	1131.1323610784318	1538.340011066667	0.7352941176470589	115375.50083000003	102
Cluster_10	DNA-nonIBD_abundance	1738.491029411765	1738.491029411765	1791.1725757575762	0.9705882352941176	59108.695000000014	34
Cluster_10	DNA-nonIBD_prevalence	0.9705882352941176	1738.491029411765	1791.1725757575762	0.9705882352941176	59108.695000000014	34
Cluster_10	DNA-within-phenotype_abundance	1738.491029411765	1738.491029411765	1791.1725757575762	0.9705882352941176	59108.695000000014	34
Cluster_10	DNA-within-phenotype_prevalence	0.9705882352941176	1738.491029411765	1791.1725757575762	0.9705882352941176	59108.695000000014	34
Cluster_100	DNA-CD_abundance	772.7547007058824	772.7547007058824	1010.5253778461539	0.7647058823529411	52547.319648000004	68
Cluster_100	DNA-CD_prevalence	0.7647058823529411	772.7547007058824	1010.5253778461539	0.7647058823529411	52547.319648000004	68
Cluster_100	DNA_abundance	1164.0732416470594	1164.0732416470594	1396.8878899764711	0.8333333333333334	118735.47064800005	102
Cluster_100	DNA_prevalence	0.8333333333333334	1164.0732416470594	1396.8878899764711	0.8333333333333334	118735.47064800005	102
Cluster_100	DNA-nonIBD_abundance	1946.7103235294117	1946.7103235294117	2005.7015454545453	0.9705882352941176	66188.151	34
Cluster_100	DNA-nonIBD_prevalence	0.9705882352941176	1946.7103235294117	2005.7015454545453	0.9705882352941176	66188.151	34
Cluster_100	DNA-within-phenotype_abundance	1946.7103235294117	1946.7103235294117	2005.7015454545453	0.9705882352941176	66188.151	34
